,sf_mu,sf_sd,adj_ratio_Trenton,adj_ratio_Montague,drought_idx
1979-01-01,79.74763,9.169485e+22,,,3.0
1979-01-02,71.567924,5.157599e+20,,,3.0
1979-01-03,71.30597,4.7376837e+20,,,3.0
1979-01-04,72.05039,7.9363974e+20,,,3.0
1979-01-05,72.831276,1.3592559e+21,,,3.0
1979-01-06,71.63315,6.119662e+20,,,3.0
1979-01-07,71.10323,4.5235587e+20,,,3.0
1979-01-08,70.748314,5.8813165e+20,,,3.0
1979-01-09,71.5931,9.411197e+20,,,3.0
1979-01-10,70.49369,4.341941e+20,,,3.0
1979-01-11,70.756294,4.6217783e+20,,,3.0
1979-01-12,71.1459,5.623628e+20,,,3.0
1979-01-13,70.85194,4.657441e+20,,,3.0
1979-01-14,72.10389,1.1472791e+21,,,3.0
1979-01-15,71.11382,5.7137566e+20,,,2.0
1979-01-16,70.96264,4.6469172e+20,,,2.0
1979-01-17,70.80181,3.8780707e+20,,,2.0
1979-01-18,70.65405,3.326657e+20,,,2.0
1979-01-19,70.53336,2.985695e+20,,,2.0
1979-01-20,70.603836,3.1224357e+20,,,2.0
1979-01-21,70.91851,7.103511e+20,,,2.0
1979-01-22,71.314255,1.0613715e+21,,,2.0
1979-01-23,68.94102,2.7933974e+20,,,2.0
1979-01-24,68.239815,2.625005e+20,,,2.0
1979-01-25,67.37998,1.8440353e+20,,,2.0
1979-01-26,66.15627,1.0342049e+20,,,2.0
1979-01-27,65.69407,8.182046e+19,,,1.0
1979-01-28,65.40325,7.1415453e+19,,,1.0
1979-01-29,65.33034,6.7131874e+19,,,1.0
1979-01-30,65.22128,6.305494e+19,,,1.0
1979-01-31,65.17787,5.945717e+19,,,2.0
1979-02-01,65.04722,5.3626423e+19,,,1.0
1979-02-02,64.726105,4.164657e+19,,,2.0
1979-02-03,64.43819,3.1891728e+19,,,2.0
1979-02-04,64.1056,2.375196e+19,,,2.0
1979-02-05,63.829773,1.8047632e+19,,,2.0
1979-02-06,63.632103,1.4447183e+19,,,2.0
1979-02-07,63.438995,1.1729492e+19,,,2.0
1979-02-08,63.36911,1.0323242e+19,,,2.0
1979-02-09,63.344933,9.545618e+18,,,2.0
1979-02-10,63.313614,8.81254e+18,,,2.0
1979-02-11,63.31459,8.318629e+18,,,2.0
1979-02-12,63.316013,7.9311836e+18,,,2.0
1979-02-13,63.359257,7.713192e+18,,,2.0
1979-02-14,63.398766,7.5801525e+18,,,2.0
1979-02-15,63.42449,7.398206e+18,,,2.0
1979-02-16,63.422493,7.223629e+18,,,2.0
1979-02-17,63.479008,7.236316e+18,,,2.0
1979-02-18,63.512054,7.1342444e+18,,,2.0
1979-02-19,63.574245,7.219332e+18,,,2.0
1979-02-20,63.717255,7.7585785e+18,,,2.0
1979-02-21,64.137405,1.0346819e+19,,,2.0
1979-02-22,65.2165,2.538579e+19,,,2.0
1979-02-23,66.23853,6.248839e+19,,,2.0
1979-02-24,66.03451,8.809586e+19,,,2.0
1979-02-25,64.89625,4.7289784e+19,,,2.0
1979-02-26,62.32628,9.862388e+18,,,2.0
1979-02-27,65.25642,6.835912e+19,,,2.0
1979-02-28,65.196434,6.7013153e+19,,,2.0
1979-03-01,65.12929,6.4265725e+19,,,2.0
1979-03-02,65.054474,6.139909e+19,,,2.0
1979-03-03,64.91412,5.511889e+19,,,2.0
1979-03-04,64.64029,4.500544e+19,,,2.0
1979-03-05,63.88472,2.73686e+19,,,2.0
1979-03-06,63.06631,1.395885e+19,,,2.0
1979-03-07,63.48608,1.8796804e+19,,,1.0
1979-03-08,63.65273,2.1753745e+19,,,1.0
1979-03-09,63.340645,1.7703962e+19,,,1.0
1979-03-10,62.97796,1.2660901e+19,,,1.0
1979-03-11,64.23033,3.2292162e+19,,,1.0
1979-03-12,64.108055,2.986434e+19,,,1.0
1979-03-13,63.703106,2.189536e+19,,,1.0
1979-03-14,63.403656,1.7258921e+19,,,1.0
1979-03-15,63.398365,1.6990698e+19,,,1.0
1979-03-16,62.929497,1.1884608e+19,,,1.0
1979-03-17,62.444107,8.086132e+18,,,1.0
1979-03-18,62.144016,6.271068e+18,,,1.0
1979-03-19,61.964138,5.2736624e+18,,,1.0
1979-03-20,61.879555,4.6702636e+18,,,1.0
1979-03-21,61.9544,4.4928395e+18,,,1.0
1979-03-22,62.17202,4.6354223e+18,,,1.0
1979-03-23,62.38465,4.801193e+18,,,1.0
1979-03-24,62.454803,4.967034e+18,,,1.0
1979-03-25,62.05844,4.015298e+18,,,0.0
1979-03-26,62.327274,4.7468506e+18,,,0.0
1979-03-27,62.501,4.640571e+18,,,0.0
1979-03-28,62.613804,4.8299605e+18,,,0.0
1979-03-29,62.777687,5.186537e+18,,,0.0
1979-03-30,62.649307,4.7359803e+18,,,0.0
1979-03-31,62.547287,4.3976787e+18,,,0.0
1979-04-01,62.5776,4.3461457e+18,,,2.0
1979-04-02,62.62236,4.3227327e+18,,,2.0
1979-04-03,62.674603,4.3646208e+18,,,2.0
