,Q_C,Q_i,cannonsville_storage_pct,T_C_mu,T_C_sd,T_i_mu,T_i_sd,Tavg_L_mu,Tavg_L_sd,T_L_mu,T_L_sd,thermal_releases,remained_bank_amounts
1979-01-01,38.7789474072,280.68753049535803,55.558734084064,4.7536893,0.8172041,-1.1704372,1.2189677,-0.4513276822863951,1.0755854312702118,-0.04784077353441124,1.541980111577471,0.0,4860.0
1979-01-02,38.7789474072,2160.444930495358,63.70079710312151,4.0388026,1.0051054,0.6716428,0.71869916,0.7310159599936529,0.7062487415723803,1.1910148532070712,1.1726299368140236,,
1979-01-03,38.7789474072,4513.705930495358,69.48258874576639,2.4504266,0.70867634,0.961497,0.49237102,0.9741799990851105,0.4882142358667879,1.4458013021524159,0.9545928558995505,,
1979-01-04,255.5128974072,3020.7745304953582,71.3358645996105,1.7224802,0.72875386,0.29667455,0.36043644,0.4078710594229527,0.33715141955175615,0.8524247310046741,0.8035361416546747,,
1979-01-05,228.1173274072,1753.245330495358,72.25038047080578,1.730909,0.74643517,0.10425359,0.31135744,0.29153292583822543,0.28860240133714915,0.7305260323166118,0.7549884224052226,,
1979-01-06,92.9431774072,1371.9342304953582,72.90690657478383,2.0787296,0.7461769,0.105243206,0.32008743,0.23045648174256966,0.3034939808088509,0.6665303429725633,0.7698806900163362,,
1979-01-07,104.4664324072,2162.897930495358,73.48047991724349,2.6329079,0.783837,0.11917788,0.35434845,0.23499534788600931,0.3399459973209122,0.6712861514023217,0.8063326552429491,,
1979-01-08,308.4431474072,5758.203430495358,75.5886841285071,2.6858892,0.77785105,0.34844834,0.47171593,0.4672895478663605,0.44947595103562316,0.914683220083735,0.9158600156759112,,
1979-01-09,722.2798474072,2692.3577304953583,76.43953128647918,1.7694726,0.8060221,-0.09835619,0.32499444,0.2967355493416903,0.30778590098215786,0.7359773234392636,0.7741718636301607,,
1979-01-10,431.5173774072,1181.419030495358,76.90865326158813,1.6919568,0.8360783,-0.5635166,0.31630617,0.03990206165945465,0.32204036734496,0.4668680729871743,0.7884292509131882,,
1979-01-11,331.91334740720004,1028.782030495358,77.19981592924997,1.4783106,0.8513358,-0.47557127,0.27053553,0.0010375820443711788,0.2914846247927926,0.4261460040980673,0.7578739569294523,,
1979-01-12,277.4978074072,841.959530495358,77.39845451122737,1.4352844,0.841423,-0.4520104,0.25048882,0.015823567720430937,0.2810648737233795,0.4416387093460792,0.7474540349987138,,
1979-01-13,123.4690974072,817.0032304953581,77.68572961068325,2.1591344,0.836059,-0.27996325,0.27776474,0.040251572793504956,0.26508974090509213,0.4672342895586882,0.7314786204471465,,
1979-01-14,38.7789474072,590.0350304953581,78.15766282775107,2.541717,0.7789594,-0.15500277,0.33931723,0.011303893314125188,0.3219951307803356,0.4369030099528861,0.7883843442568125,,
1979-01-15,54.9368420988,651.022730495358,78.52023961648189,2.0443585,0.74764997,-0.018369853,0.30209273,0.14214894361703592,0.284594869624719,0.5740020063888469,0.7509825813218902,,
1979-01-16,79.5365070988,606.3844304953581,78.782390973919,2.057683,0.77243626,-0.18443322,0.26398975,0.07555314440290808,0.2499761618281418,0.5042231556186351,0.7163646354352113,,
1979-01-17,87.7272740988,608.600670495358,79.22467888395803,2.2688265,0.78137416,-0.23041046,0.26404998,0.08445733788206619,0.2509020165219543,0.5135529391086342,0.7172903879641667,,
1979-01-18,100.8873720988,573.132160495358,79.60199058710053,1.9540316,0.76878065,-0.22672218,0.252206,0.09969345870033901,0.24337760624500548,0.5295172944199469,0.709765803081414,,
1979-01-19,99.8452720988,531.134850495358,79.93204262462127,1.4391348,0.79449034,-0.30977023,0.24731801,-0.033026323453732756,0.24319810236556674,0.39045396035878976,0.709587829083266,,
1979-01-20,55.1918067488,588.571530495358,80.30977883142104,2.0745587,0.7742856,-0.2621597,0.25951594,-0.06182566140924834,0.24637798254880175,0.36027811249461245,0.7127680439001142,,
1979-01-21,249.0295720988,1331.305530495358,81.22560080624586,2.8501303,0.9104943,-0.31975508,0.28126615,0.1797561988924024,0.2769979733516413,0.6134067599124049,0.7433852570316375,,
1979-01-22,54.9368420988,6112.483215495358,83.89099634428909,2.7989779,0.7363832,0.25112557,0.42756256,0.27382079463640785,0.42380477000148925,0.711967321789239,0.8901909901904717,,
1979-01-23,318.0325120988,2922.793830495358,85.12375154795404,2.499794,0.82485104,-0.0011461377,0.34818643,0.2442790077712294,0.3242827602929805,0.6810135384954517,0.7906693133906688,,
1979-01-24,976.1663737036,3101.999930495358,86.04499480636842,2.6750293,0.91000944,-0.2675115,0.37575346,0.43682696650339725,0.35935408896830584,0.8827646314627472,0.8257384901712734,,
1979-01-25,1419.9199737036,8662.623930495358,89.2937999247619,2.6890593,0.83347404,0.93984324,0.60309756,1.1861845168303635,0.5312918902670701,1.6679389111447023,0.9976683202524002,,
1979-01-26,1603.7478737036,5334.378930495359,90.68549637021913,2.8971367,0.6032918,1.0681715,0.64238846,1.4909367680139234,0.5132096358925599,1.9872572781913806,0.9795830077650782,,
1979-01-27,3191.1444629766893,5205.025615029758,89.67355002646727,2.8630838,0.6239413,0.8629888,1.3118565,1.6231678227326607,0.8471268677030418,2.125808525316425,1.313498945706115,,
1979-01-28,2596.379144141201,3947.7885046129218,88.81424242758007,3.1080284,0.5425935,2.1478343,1.3856297,2.52878847234249,0.8631606155154805,3.0747147462682816,1.3295243694836,,
1979-01-29,2003.7110478301377,3063.5701030161767,87.91255860057322,3.0763962,0.5062863,2.2744846,0.7597537,2.591577582157785,0.5010623337837424,3.1405049608989133,0.9674255453903418,,
1979-01-30,680.5704137036,1646.056630495358,88.00327421533616,2.9525466,0.5023679,1.2959852,0.51761675,1.780552210324345,0.394590341101617,2.290715348643377,0.8609609051724268,,
1979-01-31,1103.8983738230577,2149.787785340396,87.53152882699746,2.967279,0.4910559,0.15662807,0.59453124,1.1102151085264307,0.42669079977518276,1.5883384248122725,0.8930680086306815,,
1979-02-01,786.6402321683687,1688.6499510275216,86.98998694864277,2.8188233,0.48177725,-0.7052685,0.46215805,0.4146779355014768,0.35049516162168026,0.8595569524916098,0.8168798082021174,,
1979-02-02,579.0358737035999,883.031230495358,86.69481724371423,2.7038631,0.49641457,-1.7813431,0.48937976,-0.0050256474269052345,0.35497998512226137,0.41979297298417695,0.8213693873956026,,
1979-02-03,569.4195537036,808.048790495358,86.4714086263585,2.6972632,0.5055219,-2.05135,0.5592641,-0.08836250242193737,0.3889767586368929,0.33247290119316986,0.8553671291722282,,
1979-02-04,543.6346837036,801.793330495358,86.17055915187863,2.8798957,0.4857775,-1.7329298,0.67405355,0.13093201759554446,0.4470862269705597,0.5622489496466716,0.9134740666433363,,
1979-02-05,515.0111737036,733.400430495358,85.90116862915448,2.6660738,0.48859346,-1.6294237,0.6266933,0.14261139940734158,0.41972581508738155,0.5744865659851032,0.8861135215114124,,
1979-02-06,169.1869420988,715.806830495358,85.96307282679501,2.6294732,0.48555675,-0.65599394,0.2867344,-0.027901224892174798,0.24980541865355368,0.3958240211123172,0.7161950859196171,,
1979-02-07,164.32446209879998,683.827170495358,85.97070541177244,3.0442948,0.46998516,-0.44582295,0.24673012,0.23036713517225452,0.2187773853230826,0.6664367259416031,0.685164095540347,,
1979-02-08,157.2814320988,664.781930495358,85.9580356177079,2.9847393,0.4571451,-0.5306815,0.2798393,0.14190707361594057,0.242613017223626,0.5737485758284905,0.709000731678811,,
1979-02-09,148.2030720988,625.273890495358,85.92490794955047,2.47855,0.5005816,-0.4414562,0.22715187,0.11803542651447557,0.20716877791039268,0.5487359455967189,0.6735567649001095,,
1979-02-10,136.5551660988,613.321230495358,85.87707453969846,2.1533327,0.5263243,-0.4293666,0.198671,0.04095216439226603,0.18865342051185943,0.46796836704101746,0.6550422919839091,,
1979-02-11,123.5542970988,595.3685304953581,85.80763009560471,2.0431929,0.5300844,-0.40751004,0.19767092,0.013668508947499967,0.1873411399240666,0.439380646130502,0.6537303260868934,,
1979-02-12,122.7908920988,556.4461604953581,85.72912239437551,2.283051,0.48478463,-0.37855697,0.20278311,0.10260232381169271,0.1878238332629588,0.5325651933401654,0.6542119967939739,,
1979-02-13,119.3273620988,549.297230495358,85.60226793779488,2.0416813,0.5046102,-0.40439475,0.21194622,0.03214887527580443,0.19603108772581315,0.4587443107973274,0.662420060642348,,
